OTUId,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
OTU_117,192,106,454,10,310,271,776,107,227,186,699,200,78,26,44,236,409,310,90,436,202,58,10,88,14,117,6,0,23,822,740,252,170,130,292,47,41,725,46,92,206,495,131,251,8,861,487,0,343,554,5,350,102,170,232,1354,264,203,474,439,84,615,2169,79,204,1250,538,613,1075,105,53,704,332,672,500,20,271,614,1103,1412,110,475,93,8,54,148,1110,215,7,39,548,42,247,646,92,429,49,354,135,9,934,111,146,167,70,382,768
OTU_43,30,20,72,40,8,29,238,16,69,17,167,59,47,20,2,58,36,3,25,23,9,86,140,147,0,22,97,43,70,61,130,5,20,235,28,86,17,20,45,133,56,94,16,16,26,8,27,0,49,264,72,32,17,47,2,31,678,49,94,101,24,8,86,118,95,269,2,23,83,2,165,105,73,9,50,21,190,34,117,97,19,48,49,263,2,75,59,90,4,41,140,191,107,125,178,206,13,48,228,750,1767,157,154,20,18,167,54
OTU_51,22,23,15,64,28,60,0,14,1,13,61,10,95,35,36,32,25,6,67,24,80,38,484,14,12,74,240,12,3,100,68,41,33,59,49,16,9,16,284,35,0,31,106,41,10,17,0,0,64,58,63,11,284,58,50,180,224,90,204,178,137,3,8,173,336,43,15,78,97,16,53,58,140,15,77,29,233,3,358,153,10,167,75,75,3,36,92,153,85,4,113,61,1,33,49,33,34,113,41,103,1138,33,171,106,51,54,40
OTU_91,121,9,88,23,30,80,8,2,229,2,11,62,2,7,14,45,30,0,14,23,12,20,0,0,0,0,12,1,0,125,350,26,6,53,0,7,3,33,8,0,42,8,0,1,0,0,63,0,16,305,73,128,0,16,301,196,0,11,34,2,4,166,26,5,53,174,49,1,22,33,8,172,0,2,0,1,11,0,22,11,150,38,597,7,18,1,10,1,0,0,3,6,42,59,1,24,3,1,60,0,3,1,0,10,1,37,42
OTU_70,60,0,0,1274,5,0,0,84,0,0,118,31,0,0,183,7,349,0,0,0,0,0,12,0,95,0,199,141,1,46,12,29,0,2,107,143,7,54,1,364,0,0,29,0,219,0,0,0,132,0,1092,0,144,1,12,232,0,0,0,0,310,28,1,1,1,0,0,4,1,306,47,24,0,7,0,228,0,35,0,41,0,1,169,0,0,0,732,233,0,0,0,0,64,0,17,0,143,0,673,870,0,11,517,1,321,0,26
OTU_362,53,0,0,0,0,0,0,0,0,0,0,62,8,5,0,0,0,0,8,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,29,0,0,0,0,33,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,163,0,0,5,0,0,0,5,79,0,0,0
OTU_250,20,0,298,0,26,45,67,2,4,5,9,15,37,2,2,26,61,3,2,12,35,62,163,7,134,24,24,1,0,21,247,0,1,9,10,0,0,6,358,0,0,0,20,17,13,0,0,0,6,54,35,5,17,62,12,6,56,32,12,78,31,4,4,322,61,49,1,3,72,1,2,7,16,9,224,20,56,18,770,1658,1,59,44,30,1,35,30,141,6,6,520,19,0,53,38,112,6,73,116,100,272,1,80,0,33,1,32
OTU_46,340,0,0,2,74,201,0,77,155,12,66,638,238,14,0,2,0,0,490,29,2,327,0,242,0,0,242,13,0,51,19,70,0,11,1,1,28,1364,180,0,0,0,0,105,192,0,0,0,2,181,336,0,1,4,15,0,4,0,0,0,12,150,9,1,659,88,0,53,1466,0,156,148,37,0,2,0,3947,0,0,529,525,79,319,322,0,25,723,0,0,527,119,0,17,180,2,423,100,0,419,295,312,168,7,1404,399,0,0
OTU_281,6,0,7,0,35,4,18,6,15,13,41,41,28,37,0,19,5,37,7,5,30,5,9,78,2,0,7,1,50,16,128,0,1,7,13,8,30,16,0,0,96,1,3,15,0,46,78,0,4,0,1,20,0,5,27,52,3,56,27,3,12,54,3,12,0,7,19,5,1,7,0,2,14,11,4,102,4,106,9,3,3,0,0,0,2,5,4,4,0,3,0,22,0,3,3,39,41,17,15,0,4,14,5,69,18,0,4
OTU_352,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,103,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,19,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
